Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,156.16,-2.01,-1.27%,158.6,155.5825,520307,15:14 ET
AAL,American Airlines Gp,16.48,1.14,7.43%,16.8455,15.875,73112042,15:14 ET
AAP,Advance Auto Parts Inc,152.65,-0.63,-0.41%,153.34,148.9,645391,15:13 ET
AAPL,Apple Inc,132.95,-0.54,-0.40%,134.26,131.44,54866847,15:14 ET
ABBV,Abbvie Inc,152.31,-4.86,-3.09%,155.26,152.3,4650271,15:14 ET
ABC,Amerisourcebergen Corp,164.49,-0.9,-0.54%,165.965,164.12,598201,15:12 ET
ABT,Abbott Laboratories,111.24,-1.91,-1.69%,112.3858,110.89,2236414,15:14 ET
ACGL,Arch Capital Grp Ltd,63.02,0.17,0.27%,63.51,62.44,763795,15:14 ET
ACN,Accenture Plc,283.88,2.8,1.00%,287.9699,282.37,1441289,15:14 ET
ADBE,Adobe Systems Inc,343.37,0.44,0.13%,346.44,337.37,1189596,15:14 ET
ADI,Analog Devices,168.27,-1.52,-0.90%,170.64,167.1601,1283035,15:14 ET
ADM,Archer Daniels Midland,87.49,0.81,0.93%,87.64,86.16,1633302,15:14 ET
ADP,Automatic Data Procs,243.89,-1.16,-0.47%,245.93,242.58,550664,15:14 ET
ADSK,Autodesk Inc,199.82,-0.11,-0.06%,201.8,197.09,589564,15:13 ET
AEE,Ameren Corp,89.94,-0.68,-0.75%,90.92,89.94,447034,15:13 ET
AEP,American Electric Power Company,96.72,-0.91,-0.93%,97.8436,96.73,1167942,15:14 ET
AES,The Aes Corp,27.68,-0.05,-0.18%,27.8986,27.5,2599403,15:14 ET
AFL,Aflac Inc,71.84,-0.07,-0.10%,72.41,71.71,1150320,15:14 ET
AIG,American International Group,63.95,0.49,0.77%,64.22,63.495,2693558,15:14 ET
AIZ,Assurant Inc,125.72,-0.87,-0.69%,127.07,124.11,343246,15:14 ET
AJG,Arthur J. Gallagher & Company,194.19,-1.57,-0.80%,196.86,193.03,352020,15:12 ET
AKAM,Akamai Technologies,88.25,-0.48,-0.54%,89.0742,87.8,484715,15:14 ET
ALB,Albemarle Corp,243.3,6.74,2.85%,244.77,235.6598,1019450,15:14 ET
ALGN,Align Technology,235.42,1.26,0.54%,237.24,228.34,595380,15:14 ET
ALK,Alaska Air Group,49.09,1.39,2.91%,49.38,47.98,944017,15:13 ET
ALL,Allstate Corp,137.28,-0.95,-0.69%,139.08,137.41,695629,15:14 ET
ALLE,Allegion Plc,113.51,-0.6,-0.53%,114.33,112.86,175573,15:14 ET
AMAT,Applied Materials,109.98,-0.08,-0.07%,111.885,107.23,3444095,15:14 ET
AMCR,Amcor Plc,12.15,-0.03,-0.25%,12.27,12.125,3742130,15:14 ET
AMD,Adv Micro Devices,70.53,1.47,2.13%,71.65,67.18,58766330,15:14 ET
AME,Ametek Inc,145.05,-0.43,-0.30%,146.39,144.73,313375,15:14 ET
AMGN,Amgen Inc,270.06,-2.85,-1.04%,272.6531,268.89,707047,15:14 ET
AMP,Ameriprise Financial Services,331.11,1.12,0.34%,333.74,328.51,380218,15:14 ET
AMT,American Tower Corp,231.8,3.68,1.61%,232.8,225.56,1243527,15:14 ET
AMZN,Amazon.com Inc,94.95,-0.14,-0.15%,97.19,93.5,66246361,15:14 ET
ANET,Arista Networks Inc,116.59,0.26,0.22%,117.69,114.55,957102,15:14 ET
ANSS,Ansys Inc,250.92,-1.24,-0.49%,253.34,248.8025,172944,15:12 ET
AON,AON Plc,315.53,3.34,1.07%,317.026,308.86,331454,15:14 ET
AOS,Smith A.O. Corp,61.27,-1.31,-2.09%,62.8055,60.99,748676,15:14 ET
APA,Apa Corp,45.45,1.63,3.72%,46.14,43.99,4127571,15:14 ET
APD,Air Products and Chemicals,309.96,-2.81,-0.90%,314.01,308.895,476408,15:14 ET
APH,Amphenol Corp,80.81,0.13,0.16%,81.58,80.15,954336,15:14 ET
APTV,Aptiv Plc,101.79,2.51,2.53%,102.5,99,973743,15:14 ET
ARE,Alexandria Real Estate Equities,155.38,1.68,1.09%,156.33,152.855,393064,15:13 ET
ATO,Atmos Energy Corp,116.84,0.11,0.09%,117.7,116.15,283803,15:14 ET
ATVI,Activision Blizzard,76.73,-0.27,-0.35%,77.28,76.72,2423495,15:14 ET
AVB,Avalonbay Communities,170.5,0.62,0.36%,171.42,168.52,310175,15:13 ET
AVGO,Broadcom Ltd,580.67,2.53,0.44%,585.11,573.76,892615,15:14 ET
AVY,Avery Dennison Corp,192.66,0.07,0.04%,193.89,190.79,195488,15:14 ET
AWK,American Water Works,159.91,-1.51,-0.94%,161.24,159.06,305116,15:13 ET
AXP,American Express Company,154.5,0.58,0.38%,155.748,152.4,1348791,15:14 ET
AZO,Autozone,2371.44,-61.79,-2.54%,2424.71,2366.7849,92557,15:12 ET
BA,Boeing Company,213.64,5.61,2.70%,214.92,207.3701,6374907,15:14 ET
BAC,Bank of America Corp,34.51,0.13,0.38%,34.87,34.44,26998759,15:14 ET
BALL,Ball Corporation,56.97,0.56,0.99%,57.28,56.08,1104451,15:14 ET
BAX,Baxter International Inc,45.28,-0.16,-0.35%,45.64,44.74,6171235,15:14 ET
BBWI,Bath & Body Works Inc,46.04,-0.54,-1.16%,46.925,45.69,1030425,15:13 ET
BBY,Best Buy Company,85.89,0.04,0.05%,86.6999,84.83,1472861,15:14 ET
BDX,Becton Dickinson and Company,255.1,-1.05,-0.41%,258,254.45,399219,15:14 ET
BEN,Franklin Resources,29.68,0.21,0.71%,30.05,29.195,2739652,15:14 ET
BF.B,Brown Forman Inc Cl B,65.61,-0.52,-0.79%,66.25,65.21,507603,15:14 ET
BIIB,Biogen Inc,285.69,0.66,0.23%,285.63,280.06,689409,15:12 ET
BIO,Bio-Rad Laboratories,452.85,-8.32,-1.80%,462.635,447.406,78127,15:07 ET
BK,Bank of New York Mellon Corp,48,-0.18,-0.37%,48.76,47.89,5180977,15:14 ET
BKNG,Booking Holdings Inc,2257.11,32.3,1.45%,2267.6592,2214.6499,196071,15:12 ET
BKR,Baker Hughes Company,31.51,0.68,2.21%,31.89,30.68,3232587,15:14 ET
BLK,Blackrock Inc,748.16,-7.76,-1.03%,763.16,741.15,642015,15:13 ET
BMY,Bristol-Myers Squibb Company,71.61,-0.33,-0.46%,71.945,71.06,4005418,15:14 ET
BR,Broadridge Financial Solutions Llc,144.45,0.88,0.61%,145.1299,142.3502,175597,15:14 ET
BRK.B,Berkshire Hathaway Cl B,318.61,-1.76,-0.55%,321.32,317.72,1734754,15:14 ET
BRO,Brown & Brown,61.7,0.01,0.02%,62.23,61.025,834825,15:13 ET
BSX,Boston Scientific Corp,46.54,0.73,1.59%,46.68,45.76,6876016,15:14 ET
BWA,Borgwarner Inc,44.67,1.11,2.55%,44.86,43.81,1152939,15:14 ET
BXP,Boston Properties,71.13,1.37,1.96%,71.46,70.03,579716,15:14 ET
