Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
C,Citigroup Inc,49.1,0.39,0.80%,49.475,48.55,9956512,15:14 ET
CAG,Conagra Brands Inc,40.29,-0.23,-0.57%,40.655,39.955,2002521,15:14 ET
CAH,Cardinal Health,76.48,-0.04,-0.05%,77.04,75.885,848915,15:14 ET
CARR,Carrier Global Corp,45.25,0.06,0.13%,45.67,44.92,2081931,15:14 ET
CAT,Caterpillar Inc,255.25,4.52,1.80%,257.3799,251.01,2787176,15:14 ET
CB,Chubb Ltd,225.56,0.95,0.42%,226.85,223,616622,15:14 ET
CBOE,CBOE Global Markets Inc,123.24,-0.19,-0.15%,124.38,122.26,551089,15:14 ET
CBRE,CBRE Group Inc,85.4,0.57,0.67%,85.97,84.5,850219,15:13 ET
CCI,Crown Castle Inc,151.46,-0.13,-0.09%,152.01,147.1,1351984,15:14 ET
CCL,Carnival Corp,10.19,0.33,3.35%,10.25,9.86,37375347,15:14 ET
CDAY,Ceridian Hcm Holding Inc,66.09,0.23,0.35%,66.7,64.755,401695,15:12 ET
CDNS,Cadence Design Sys,167.44,-1.03,-0.61%,168.66,164.85,450866,15:14 ET
CDW,CDW Corp,192.75,2.17,1.14%,193.605,189.28,448207,15:14 ET
CE,Celanese Corp,121.62,2.49,2.09%,122.09,117.585,898594,15:13 ET
CEG,Constellation Energy Corp,84,-0.11,-0.13%,84.8,82.77,818700,15:14 ET
CF,Cf Industries Holdings,86.04,1.99,2.37%,86.27,83.3149,1522460,15:14 ET
CFG,Citizens Financial Group Inc/Ri,41.97,0.5,1.21%,42.245,41.59,1493856,15:14 ET
CHD,Church & Dwight Company,81.31,-0.41,-0.50%,81.96,80.9,587238,15:14 ET
CHRW,C.H. Robinson Ww,93.62,-1.36,-1.43%,95.54,93.07,711090,15:14 ET
CHTR,Charter Communicatio,386.19,7.76,2.05%,388.57,377.755,619237,15:14 ET
CI,Cigna Corp,310.77,1.54,0.50%,311.99,306.82,702293,15:14 ET
CINF,Cincinnati Financial,108.33,-1.56,-1.42%,110.31,108.46,217162,15:13 ET
CL,Colgate-Palmolive Company,76.81,-0.32,-0.41%,77.6,76.35,3115909,15:14 ET
CLX,Clorox Company,142.28,0.33,0.23%,142.91,140.69,537700,15:14 ET
CMA,Comerica Inc,68.96,0.92,1.35%,69.34,68.12,794265,15:14 ET
CMCSA,Comcast Corp A,38.51,0.56,1.48%,38.565,37.71,9677644,15:14 ET
CME,CME Group Inc,175.53,-0.11,-0.06%,176.3,173.06,985348,15:14 ET
CMG,Chipotle Mexican Grill,1509.18,29.97,2.03%,1515.95,1478.4,179956,15:14 ET
CMI,Cummins Inc,250.08,-0.09,-0.04%,252.355,249.13,283113,15:13 ET
CMS,Cms Energy Corp,64.72,-0.67,-1.02%,65.56,64.72,775702,15:14 ET
CNC,Centene Corp,78.45,0.01,0.01%,78.965,76.92,2226661,15:14 ET
CNP,Centerpoint Energy Inc,31.08,-0.07,-0.22%,31.28,30.84,2310767,15:12 ET
COF,Capital One Financial Corp,100.83,-0.96,-0.94%,102.83,99.675,1647410,15:14 ET
COO,Cooper Companies,348.65,-1.66,-0.47%,353.93,346.38,149345,15:08 ET
COP,Conocophillips,120.47,2.23,1.89%,121.1,117.85,3193904,15:14 ET
COST,Costco Wholesale,480.78,-3.53,-0.73%,485,478.75,972020,15:14 ET
CPB,Campbell Soup Company,54.86,-0.77,-1.38%,55.695,54.59,1538703,15:14 ET
CPRT,Copart Inc,62.01,-0.35,-0.56%,62.42,61.42,956288,15:14 ET
CPT,Camden Property Trust,118.4,0.12,0.10%,119.6,117.615,482750,15:14 ET
CRL,Charles River Laboratories Intl,236.42,-10.52,-4.26%,242.09,229.695,548212,15:14 ET
CRM,Salesforce Inc,148.01,3.11,2.15%,149.39,143.94,6166370,15:14 ET
CSCO,Cisco Systems Inc,48.93,-0.28,-0.57%,49.43,48.87,7013128,15:14 ET
CSGP,Costar Group Inc,80.06,-0.69,-0.85%,80.505,79.3,739426,15:14 ET
CSX,CSX Corp,32.49,0.04,0.12%,32.7,32.25,5596815,15:14 ET
CTAS,Cintas Corp,445.03,-8.93,-1.97%,453.0499,441.505,200632,15:14 ET
CTLT,Catalent Inc,48.9,-0.56,-1.13%,49.98,48.59,1095812,15:14 ET
CTRA,Coterra Energy Inc,25.5,0.81,3.28%,25.58,24.88,4261728,15:14 ET
CTSH,Cognizant Tech Sol,65.14,3.64,5.92%,67.41,62.115,8327174,15:14 ET
CTVA,Corteva Inc,62.54,0.46,0.74%,62.8511,61.71,1243315,15:14 ET
CVS,CVS Corp,89.18,-0.57,-0.64%,89.97,89.025,5326774,15:14 ET
CVX,Chevron Corp,177.18,1.98,1.13%,178.37,175.9,4647844,15:14 ET
CZR,Caesars Entertainment Inc,47.2,1.37,2.99%,47.48,45.31,1632659,15:14 ET
D,Dominion Resources,63.11,0.73,1.17%,63.58,62.235,2136285,15:14 ET
DAL,Delta Air Lines Inc,39.28,1.1,2.88%,39.56,38.32,15593247,15:14 ET
DD,Dupont Denemours Inc,74.88,-0.02,-0.03%,75.38,74.07,1458371,15:14 ET
DE,Deere & Company,436.43,2.95,0.68%,439.98,431.3,711775,15:13 ET
DFS,Discover Financial Services,106.31,-0.73,-0.68%,108.3,106.37,1225746,15:14 ET
DG,Dollar General Corp,232.24,-4.57,-1.93%,236.6,231.29,1492467,15:14 ET
DGX,Quest Diagnostics Inc,148.42,-4.42,-2.89%,153.82,148.74,961995,15:14 ET
DHI,D.R. Horton,95.76,0.14,0.15%,96.5799,92.99,1944478,15:14 ET
DHR,Danaher Corp,270.62,-3.19,-1.17%,275.04,269.441,990168,15:14 ET
DIS,Walt Disney Company,100.08,3.75,3.89%,100.63,97.5705,14452231,15:14 ET
DISH,Dish Network Corp,15.14,0.09,0.60%,15.355,14.73,3453718,15:14 ET
DLR,Digital Realty Trust,106.99,1.96,1.87%,107.49,103.85,848613,15:14 ET
DLTR,Dollar Tree Inc,146.23,-1.71,-1.16%,148.27,144.87,664275,15:14 ET
DOV,Dover Corp,142.66,0.73,0.51%,143.61,141.05,449416,15:14 ET
DOW,Dow Inc,58.49,0.91,1.58%,58.798,57.5,4859021,15:14 ET
DPZ,Domino's Pizza Inc,339.25,-10.6,-3.03%,351.01,340.2,376406,15:14 ET
DRI,Darden Restaurants,148.82,-0.83,-0.55%,150.72,148.28,690179,15:14 ET
DTE,Dte Energy Company,119.48,-1.24,-1.03%,121.2467,119.52,502997,15:14 ET
DUK,Duke Energy Corp,105.1,-0.56,-0.53%,106.13,105.25,1178383,15:14 ET
DVA,Davita Healthcare Partners Inc,77.8,-1.96,-2.46%,80.24,77.54,430140,15:13 ET
DVN,Devon Energy Corp,64.28,1.43,2.28%,64.78,63.2702,5125264,15:14 ET
DXC,Dxc Technology Company,28.83,0.53,1.87%,28.91,28.42,483608,15:14 ET
DXCM,Dexcom Inc,107.07,0.91,0.86%,108.48,103.6701,1967351,15:13 ET
EA,Electronic Arts Inc,125.68,-0.43,-0.34%,126.44,123.62,1115325,15:14 ET
EBAY,Ebay Inc,46.3,-0.31,-0.67%,46.8,45.82,2301934,15:14 ET
ECL,Ecolab Inc,153.3,-0.95,-0.62%,155.12,152.845,454754,15:14 ET
ED,Consolidated Edison Company,97.69,-0.92,-0.93%,98.94,97.94,531983,15:14 ET
EFX,Equifax Inc,214.97,1.45,0.68%,216.35,211.1,490723,15:13 ET
EIX,Edison International,68.7,-0.72,-1.04%,69.8,68.62,2869923,15:14 ET
EL,Estee Lauder Companies,262.06,-1.55,-0.59%,265.6699,259.54,817993,15:14 ET
ELV,Elevance Health Inc,480.45,-0.09,-0.02%,483.91,474.57,550449,15:14 ET
EMN,Eastman Chemical Company,91.14,-0.35,-0.38%,91.84,90.53,348958,15:13 ET
EMR,Emerson Electric Company,98.28,0.08,0.08%,99.28,98.22,1288103,15:14 ET
ENPH,Enphase Energy Inc,239.46,0.64,0.27%,243.22,230.55,2849781,15:14 ET
EOG,Eog Resources,130.99,4.14,3.26%,132.1026,127.6,2519682,15:14 ET
EPAM,Epam Systems Inc,339.24,2.6,0.77%,340.92,331.59,110694,15:11 ET
EQIX,Equinix Inc,719.38,4.26,0.60%,722.9,706,201334,15:14 ET
EQR,Equity Residential,61.56,0.17,0.28%,61.9,60.9,1110690,15:14 ET
EQT,Eqt Corp,35.06,1.66,4.97%,35,33.74,5020498,15:14 ET
ES,Eversource Energy,85.33,-0.48,-0.56%,86.23,85.21,656403,15:13 ET
ESS,Essex Property Trust,220.51,-1.96,-0.88%,223.79,217.38,241848,15:13 ET
ETN,Eaton Corp,164.86,0.77,0.47%,166.5,164.2964,939949,15:14 ET
ETR,Entergy Corp,107.56,-1.23,-1.13%,109.185,107.73,584947,15:14 ET
ETSY,Etsy Inc,131.04,-3.65,-2.71%,134.44,128.15,2487544,15:13 ET
EVRG,Evergy Inc,64.03,-0.38,-0.59%,64.66,64.02,454541,15:12 ET
EW,Edwards Lifesciences Corp,77.6,-0.11,-0.14%,78.49,76.78,1702267,15:14 ET
EXC,Exelon Corp,43.51,-0.63,-1.43%,44.1,43.365,4126556,15:14 ET
EXPD,Expeditors Intl,109.79,-0.62,-0.56%,110.44,108.34,575302,15:14 ET
EXPE,Expedia Group Inc,103.33,4.09,4.12%,103.45,99.1342,1623954,15:14 ET
EXR,Extra Space Storage Inc,153.95,0.13,0.08%,154.8699,152.35,659806,15:13 ET
F,Ford Motor Company,13.43,0.21,1.59%,13.53,13.11,43122132,15:14 ET
FANG,Diamondback Energy,145.73,3.49,2.45%,146.73,142.55,1273693,15:14 ET
FAST,Fastenal Company,48.97,-0.13,-0.26%,49.42,48.25,2312199,15:14 ET
FCX,Freeport-Mcmoran Inc,45.16,-0.16,-0.35%,45.85,44.2384,9383510,15:14 ET
FDS,Factset Research Systems Inc,411.92,-0.9,-0.22%,417.54,408.45,158069,15:14 ET
FDX,Fedex Corp,192,-0.2,-0.10%,193.14,190.45,790707,15:14 ET
FE,Firstenergy Corp,43.07,0.21,0.49%,43.18,42.73,1489558,15:14 ET
FFIV,F5 Inc,147.03,-0.51,-0.35%,148.27,144.55,209692,15:14 ET
FIS,Fidelity National Information Services,69.19,-0.28,-0.40%,70.04,68.265,6020058,15:14 ET
FISV,Fiserv Inc,102.31,0.78,0.77%,102.6,101.095,1818076,15:13 ET
FITB,Fifth Third Bancorp,34.94,0.62,1.81%,35.085,34.325,2616099,15:14 ET
FLT,Fleetcor Technologies,194.04,-0.64,-0.33%,196.56,193.61,199722,15:14 ET
FMC,FMC Corp,129.25,-2.27,-1.73%,131.65,129.04,314504,15:13 ET
FOX,Fox Corp Cl B,30.31,0.22,0.73%,30.385,29.8,367453,15:13 ET
FOXA,Fox Corp Cl A,32.22,0.15,0.47%,32.315,31.785,1224430,15:14 ET
FRC,First Republic Bank,127.01,-0.98,-0.77%,129.7,126.06,1431079,15:14 ET
FRT,Federal Realty Investment Trust,109.4,2.33,2.18%,109.8825,106.85,319645,15:13 ET
FSLR,First Solar Inc,175.88,3.47,2.01%,178.4,171.7,1742250,15:13 ET
FTNT,Fortinet Inc,48.3,-0.5,-1.02%,48.635,47.19,3355751,15:14 ET
FTV,Fortive Corp,66.96,-0.05,-0.07%,67.37,66.52,486492,15:14 ET
GD,General Dynamics Corp,248.32,-0.37,-0.15%,250.2599,247.19,358586,15:14 ET
GE,General Electric Company,78.55,0.86,1.11%,79.21,77.29,7767526,15:14 ET
GEHC,Ge Healthcare Technologies Inc,65.85,0.86,1.32%,66.52,63.66,4065797,15:14 ET
GEN,Gen Digital Inc,21.82,-0.17,-0.77%,22.1,21.82,1056818,15:14 ET
GILD,Gilead Sciences Inc,85.36,-1.83,-2.10%,86.59,85.52,2527057,15:14 ET
GIS,General Mills,82.5,-1.45,-1.73%,83.93,82.36,1941888,15:14 ET
GL,Globe Life Inc,122.04,0.1,0.08%,123.85,121.61,239503,15:14 ET
GLW,Corning Inc,36.61,0.2,0.55%,36.94,36.31,2373747,15:14 ET
GM,General Motors Company,38.3,0.48,1.27%,38.61,37.83,7118541,15:14 ET
GNRC,Generac Holdings Inc,112.47,0.79,0.71%,113.12,108.0501,889878,15:13 ET
GOOG,Alphabet Cl C,91.86,-0.4,-0.43%,92.62,90.57,16668632,15:14 ET
GOOGL,Alphabet Cl A,91.07,-0.45,-0.49%,91.87,89.75,21411535,15:14 ET
GPC,Genuine Parts Company,168.86,-0.3,-0.18%,169.67,167.54,666442,15:13 ET
GPN,Global Payments Inc,107.98,2.38,2.25%,108.4,105.78,912485,15:14 ET
GRMN,Garmin Ltd,98.21,-1.72,-1.72%,100,98.215,436997,15:14 ET
GS,Goldman Sachs Group,367.84,3.36,0.92%,369.11,362.57,1060905,15:14 ET
GWW,W.W. Grainger,572.19,-10.09,-1.73%,586.39,571.46,120333,15:07 ET
HAL,Halliburton Company,42.28,1.29,3.15%,42.99,41.38,7887045,15:14 ET
HAS,Hasbro Inc,65.78,-0.15,-0.23%,66.25,64.86,603726,15:13 ET
HBAN,Huntington Bcshs,14.62,0.05,0.34%,14.74,14.55,6239840,15:14 ET
HCA,Hca Holdings Inc,256.07,3.75,1.49%,257.43,251.96,672168,15:14 ET
HD,Home Depot,330.09,1.09,0.33%,332.21,326.71,1420628,15:14 ET
HES,Hess Corp,151.64,6.39,4.40%,153.385,146.73,1725705,15:14 ET
HIG,Hartford Financial Services Group,76.37,0.39,0.51%,76.745,75.73,835760,15:14 ET
HII,Huntington Ingalls Industries,229.06,2.03,0.89%,230.265,226.58,172265,15:11 ET
HLT,Hilton Inc,135.26,0.82,0.61%,136.0306,133.23,1667381,15:13 ET
HOLX,Hologic Inc,79.53,-1.55,-1.91%,81.28,79.755,1019388,15:14 ET
HON,Honeywell International Inc,215.93,3.63,1.71%,217.22,212.38,1581480,15:14 ET
HPE,Hewlett Packard Enterprise Comp,16.34,-0.57,-3.37%,16.72,16.37,15734132,15:14 ET
HPQ,Hp Inc,28.53,-0.3,-1.04%,28.96,28.42,3363328,15:14 ET
HRL,Hormel Foods Corp,46.48,-0.34,-0.73%,46.95,46.14,853854,15:14 ET
HSIC,Henry Schein Inc,79.51,-1.11,-1.38%,81.01,79.54,482321,15:14 ET
HST,Host Marriott Financial Trust,17.48,0.22,1.27%,17.51,17.25,4172657,15:14 ET
HSY,Hershey Foods Corp,224.13,-2.46,-1.09%,226.8,223.7526,425588,15:14 ET
HUM,Humana Inc,494.47,1.47,0.30%,495.84,482.57,710796,15:14 ET
HWM,Howmet Aerospace Inc,40.8,0.41,1.02%,41.02,40.39,1619317,15:13 ET
IBM,International Business Machines,145.45,0.19,0.13%,146.66,144.52,1758159,15:14 ET
ICE,Intercontinental Exchange,108.63,-0.06,-0.06%,109.59,107.72,1530602,15:14 ET
IDXX,Idexx Laboratories,466.18,3.16,0.68%,469.13,454.515,185953,15:13 ET
IEX,Idex Corp,236.03,0.55,0.23%,237.59,233.73,233821,15:14 ET
IFF,International Flavors & Fragrances,115.38,0.09,0.08%,116.23,114.8,1250894,15:14 ET
ILMN,Illumina Inc,193.65,-10.4,-5.10%,203.6699,190.07,1836449,15:14 ET
INCY,Incyte Corp,80.48,0.8,1.00%,80.41,78.89,2797959,15:14 ET
INTC,Intel Corp,30.12,0.27,0.90%,30.38,29.47,17523155,15:14 ET
INTU,Intuit Inc,396.13,0.82,0.21%,398.27,386.03,625088,15:13 ET
INVH,Invitation Homes Inc,31.37,0.22,0.71%,31.65,30.95,2144499,15:14 ET
IP,International Paper Company,37.75,0.14,0.37%,38.1,37.37,1069872,15:14 ET
IPG,Interpublic Group of Companies,35.87,-0.11,-0.31%,36.205,35.97,996639,15:14 ET
IQV,Iqvia Holdings Inc,219.84,-1.69,-0.76%,223.525,218.23,398983,15:14 ET
IR,Ingersoll Rand Inc,57.37,0.59,1.04%,57.58,56.45,1182904,15:14 ET
IRM,Iron Mountain Inc,52.16,0.63,1.22%,52.25,51.39,631285,15:14 ET
ISRG,Intuitive Surg Inc,256.91,-3.05,-1.17%,260.35,254.98,1130384,15:14 ET
IT,Gartner Inc,335.71,-1.99,-0.59%,340.55,334.84,171023,15:14 ET
ITW,Illinois Tool Works Inc,232.04,1.35,0.59%,233.74,229.21,415758,15:13 ET
IVZ,Invesco Plc,19.51,-0.26,-1.32%,20,19.29,2668377,15:14 ET
J,Jacobs Engineering Group Inc,128.08,0.08,0.06%,128.8,127.63,165282,15:14 ET
JBHT,J B Hunt Transport,179.37,-1.31,-0.73%,181.5,177.2,424198,15:10 ET
JCI,Johnson Controls Intl,68.19,0.6,0.89%,68.52,67.26,2108705,15:14 ET
JKHY,Jack Henry & Assoc,181.42,0.32,0.18%,182.3,179.45,130524,15:14 ET
JNJ,Johnson & Johnson,174.39,-0.49,-0.28%,174.706,172.8,2577652,15:14 ET
JNPR,Juniper Networks,31.66,-0.5,-1.55%,32.19,31.76,1008614,15:14 ET
JPM,JP Morgan Chase & Company,139.79,0.16,0.11%,140.86,139.22,6367114,15:14 ET
K,Kellogg Company,70.26,-0.56,-0.79%,71.09,70.13,802122,15:14 ET
KDP,Keurig Dr Pepper Inc,35.62,-0.15,-0.42%,35.75,35.29,2792754,15:14 ET
KEY,Keycorp,18.39,0.1,0.55%,18.56,18.275,5735993,15:14 ET
KEYS,Keysight Technologies Inc,178.12,-1.32,-0.74%,180.5,177.635,315491,15:14 ET
KHC,Kraft Heinz Company,42.51,-0.05,-0.12%,42.715,42.2699,4072435,15:14 ET
KIM,Kimco Realty Corp,21.67,0.64,3.04%,21.69,20.92,3163525,15:14 ET
KLAC,K L A-Tencor Corp,417.84,-1.31,-0.31%,422.7,407.48,925144,15:14 ET
KMB,Kimberly-Clark Corp,136.37,0.06,0.04%,136.845,135.3511,911514,15:14 ET
KMI,Kinder Morgan,18.94,0.16,0.85%,19.06,18.77,6773496,15:14 ET
KMX,Carmax Inc,67.03,-0.4,-0.59%,68.27,65.53,2133846,15:14 ET
KO,Coca-Cola Company,61.22,-0.79,-1.27%,62.18,61.3,6071803,15:14 ET
KR,Kroger Company,45.61,0.01,0.02%,45.83,45.18,1729244,15:14 ET
L,Loews Corp,59.95,0.12,0.20%,60.18,59.77,283440,15:13 ET
LDOS,Leidos Holdings Inc,99.24,-0.39,-0.39%,100.025,98.34,595890,15:14 ET
LEN,Lennar Corp,99.04,0.46,0.47%,99.78,97.21,1477621,15:14 ET
LH,Laboratory Corp of America Holdings,251.95,-2.27,-0.89%,254.69,250.38,433798,15:14 ET
LHX,L3Harris Technologies Inc,200.35,0.44,0.22%,201.9616,197.0204,1217560,15:14 ET
LIN,Linde Plc,327.76,-1.86,-0.56%,329.62,325.835,813520,15:14 ET
LKQ,LKQ Corp,58.35,0.86,1.50%,58.59,57.2,2378323,15:14 ET
LLY,Eli Lilly and Company,357.97,-2.44,-0.68%,360.4962,353.08,1331656,15:14 ET
LMT,Lockheed Martin Corp,461.97,-1.03,-0.22%,465.88,459.19,611529,15:13 ET
LNC,Lincoln National Corp,31.63,-0.43,-1.34%,32.56,31.5245,1782773,15:14 ET
LNT,Alliant Energy Corp,55.91,-0.03,-0.05%,56.26,55.54,630943,15:14 ET
LOW,Lowe's Companies,210.73,2.14,1.03%,211.57,206.59,1599093,15:14 ET
LRCX,Lam Research Corp,466.81,2.51,0.54%,475.53,453.4,904477,15:14 ET
LUMN,Lumen Technologies Inc,6.07,0.25,4.30%,6.09,5.785,15382934,15:13 ET
LUV,Southwest Airlines Company,36.77,0.8,2.22%,37.02,36.11,5300148,15:14 ET
LVS,Las Vegas Sands,53.67,0.43,0.81%,54.08,52.53,2922912,15:14 ET
LW,Lamb Weston Holdings Inc,97.14,-0.1,-0.10%,98.12,96.5,594411,15:14 ET
LYB,Lyondellbasell Industries NV,93.58,0.8,0.86%,94.61,92.14,771073,15:14 ET
LYV,Live Nation Entertainment,73.36,0.02,0.03%,74.13,72.67,1100583,15:14 ET
MA,Mastercard Inc,379.57,1.71,0.45%,381.125,376.92,2225248,15:14 ET
MAA,Mid-America Apartment Communities,160.76,0.16,0.10%,162.23,158.03,531774,15:14 ET
MAR,Marriot Int Cl A,159.57,1.1,0.69%,160.59,157.68,942846,15:14 ET
MAS,Masco Corp,51.53,-0.16,-0.31%,52.28,50.54,620756,15:14 ET
MCD,McDonald's Corp,266.87,-1.94,-0.72%,269.92,266.715,1102056,15:14 ET
MCHP,Microchip Technology,75.05,-0.35,-0.46%,75.91,73.98,1744597,15:14 ET
MCK,Mckesson Corp,380.44,-0.36,-0.09%,383.0624,377.595,466674,15:11 ET
MCO,Moody's Corp,310.86,3.43,1.12%,312.3,304.2,349067,15:13 ET
MDLZ,Mondelez Intl Inc,66.91,-0.66,-0.98%,67.53,66.56,2670803,15:14 ET
MDT,Medtronic Inc,79.81,-0.51,-0.63%,80.68,78.89,3926995,15:14 ET
MET,Metlife Inc,71.74,0.17,0.24%,72.33,71.435,1743356,15:14 ET
