Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
HVT,"Haverty Furniture Companies",34.1,0.030000000000001,+0.09%,34.47,33.98,48824,"15:11 ET"
HWKN,"Hawkins Inc",38.89,1,+2.64%,38.89,37.76,17466,"15:03 ET"
HZO,"Marinemax Inc",34.52,1.06,+3.17%,34.65,33.78,242492,"15:12 ET"
IBP,"Installed Building Products",98.91,-0.13000000000001,-0.13%,100.05,95.51,242564,"15:12 ET"
IBTX,"Independent Bank Group",61.43,1.29,+2.14%,61.77,59.975,38329,"15:09 ET"
ICHR,"Ichor Holdings Ltd",29.58,0.84,+2.92%,30.33,28.7,241961,"15:13 ET"
IDCC,"Interdigital Inc",59.31,0.27,+0.46%,59.57,58.53,85880,"14:59 ET"
IIIN,"Insteel Industries",31.31,0.51,+1.66%,31.45,30.72,81301,"15:12 ET"
IIPR,"Innovative Industrial Properties",109.37,3.25,+3.06%,109.97,105.01,166149,"15:12 ET"
ILPT,"Industrial Logistics Properties Trust",4.05,0.0099999999999998,+0.25%,4.24,4.05,561069,"15:14 ET"
INDB,"Independent Bk Corp",81.58,1.29,+1.61%,82.05,80.47,49559,"15:12 ET"
INGN,"Inogen Inc",23.23,1.07,+4.83%,23.26,21.73,181495,"15:12 ET"
INN,"Summit Hotel Properties",7.61,-0.04,-0.52%,7.66,7.38,338801,"15:10 ET"
INT,"World Fuel Services Corp",28.1,0.65,+2.37%,28.21,27.225,213834,"15:14 ET"
INVA,"Innoviva Inc",13.65,0.22,+1.64%,13.74,13.3493,498130,"15:14 ET"
IOSP,"Innospec Inc",107.9,2.39,+2.27%,108.12,105.85,30336,"14:58 ET"
IPAR,"Inter Parfums Inc",112.25,0.95999999999999,+0.86%,112.94,110.42,47785,"15:09 ET"
IRBT,"Irobot Corp",48.4,-0.07,-0.14%,48.72,48.24,126453,"15:07 ET"
IRWD,"Ironwood Pharmaceuti",11.54,0.33,+2.94%,11.68,11.14,981630,"15:13 ET"
ITGR,"Integer Holdings Corp",71.9,-0.34999999999999,-0.48%,72.72,70.955,54968,"15:10 ET"
ITOS,"Iteos Therapeutics Inc",18.79,-0.41,-2.14%,19.345,18.7,143667,"15:13 ET"
ITRI,"Itron Inc",56.94,0.91,+1.62%,57.33,56.03,76537,"15:11 ET"
IVR,"Invesco Mortgage Capital Inc",14.08,0.38,+2.77%,14.1,13.71,514950,"15:14 ET"
JACK,"Jack IN The Box Inc",76.75,0.65000000000001,+0.85%,78.44,76.27,195447,"15:13 ET"
JBSS,"John B Sanfilippo",83.22,1.01,+1.23%,83.495,81.46,30663,"15:10 ET"
JBT,"John Bean Technologies Corp",102.15,2.25,+2.25%,102.52,99.68,76391,"15:06 ET"
JJSF,"J J Snack Foods",152.04,-0.34999999999999,-0.23%,153.1,149.815,50857,"15:01 ET"
JOE,"St. Joe Company",41.31,-0.16999999999999,-0.41%,41.8999,40.98,101455,"15:09 ET"
JRVR,"James River Gp HD",21.55,0.050000000000001,+0.23%,21.61,21.045,74902,"15:14 ET"
JYNT,"The Joint Corp",18.17,1.4,+8.35%,18.5,16.58,186520,"15:13 ET"
KALU,"Kaiser Aluminum",88.29,1.11,+1.27%,89.23,86.66,32540,"15:11 ET"
KAMN,"Kaman Corp",23.9,0.45,+1.92%,24.43,23.525,104049,"15:09 ET"
KAR,"Kar Auction Services Inc",13.35,0.039999999999999,+0.30%,13.47,13.07,387895,"15:13 ET"
KELYA,"Kelly Svcs Cl A",17.42,0.12,+0.69%,17.54,17.35,44511,"15:09 ET"
