Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BFS,"Saul Centers",41.88,1.06,+2.60%,42.1,40.64,15582,"15:06 ET"
BGS,"B&G Foods Holdings",13.99,0.3,+2.19%,14.31,13.71,1219471,"15:14 ET"
BHE,"Benchmark Electronics",28.66,0.24,+0.84%,28.82,28.26,53922,"15:12 ET"
BHLB,"Berkshire Hills Bancorp",30.95,0.22,+0.72%,31.11,30.72,88638,"15:09 ET"
BIG,"Big Lots",19.1,0.13,+0.69%,19.32,18.62,585282,"15:14 ET"
BJRI,"Bj's Restaurants Inc",30.6,-0.02,-0.07%,31.535,30.41,98356,"15:11 ET"
BKE,"Buckle Inc",45.37,-4.37,-8.79%,46.88,44.59,643425,"15:14 ET"
BKU,"BankUnited Inc",35.01,0.059999999999995,+0.17%,35.34,34.78,293363,"15:12 ET"
BLFS,"Biolife Solutions",23.04,0.7,+3.13%,23.21,21.155,287585,"15:14 ET"
BLMN,"Bloomin' Brands Inc",23.65,0.2,+0.85%,24.23,23.48,2301072,"15:13 ET"
BMI,"Badger Meter",114.28,1.02,+0.90%,114.74,111.9,46217,"15:11 ET"
BOOM,"Dynamic Materials",21.81,1.27,+6.18%,22.3399,20.77,94797,"15:12 ET"
BOOT,"Boot Barn Holdings Inc",72.11,-0.31,-0.43%,73.33,70.94,392304,"15:13 ET"
BRC,"Brady Corp",50,0.95,+1.94%,49.97,48.75,74634,"15:12 ET"
BRKL,"Brookline Bancorp",13.81,-0.09,-0.65%,14.04,13.73,297552,"15:10 ET"
BSIG,"Brightsphere Investment Group Plc",21.45,0.25,+1.18%,21.7708,20.955,131894,"15:09 ET"
CAKE,"Cheesecake Fact",38.03,-0.36,-0.94%,38.99,37.6112,776194,"15:13 ET"
CAL,"Caleres Inc",23.22,0.54,+2.38%,23.11,22.53,290817,"15:14 ET"
CALM,"Cal-Maine Foods IN",54.03,1.53,+2.91%,54.45,52.26,616662,"15:12 ET"
CARA,"Cara Therapeutics",10.48,0.61,+6.18%,10.35,9.61,214980,"15:11 ET"
CARS,"Cars.com Inc",15.27,0.66,+4.52%,15.45,14.67,211076,"15:14 ET"
CASH,"Pathward Financial Inc",46.43,0.29,+0.63%,46.665,45.84,111232,"15:14 ET"
CBU,"Community Bank System",64.44,0.36,+0.56%,64.86,63.7,44794,"15:11 ET"
CCOI,"Cogent Comm Hlds",64.61,1.16,+1.83%,64.7,63.66,155729,"15:12 ET"
CCRN,"Cross Ctry Hlthcr",28.38,-0.68,-2.34%,29.35,28.26,362117,"15:13 ET"
CCS,"Century Communities Inc",57.89,0.16,+0.28%,58.07,56.37,101025,"15:14 ET"
CCSI,"Consensus Cloud Solutions",56.8,0.88,+1.57%,57.14,54.23,69557,"15:02 ET"
CDMO,"Avid Bioservices Inc",15.91,0.36,+2.32%,15.915,15.3,333000,"15:13 ET"
CEIX,"Consol Energy Inc",58.68,0.23,+0.39%,59.46,57.14,289989,"15:14 ET"
CENT,"Central Garden",39.41,0.4,+1.03%,39.96,39.02,12808,"15:00 ET"
CENTA,"Central Garden & Pet",37.48,0.18,+0.48%,38.22,37.29,206753,"15:13 ET"
CENX,"Century Aluminum C",9.89,-0.07,-0.70%,10.26,9.235,1605216,"15:14 ET"
CEVA,"Ceva Inc",29.59,0.1,+0.34%,29.98,29.0601,40727,"15:03 ET"
CFFN,"Capitol Fed Finl Inc",8.72,0.0099999999999998,+0.11%,8.785,8.64,248968,"15:13 ET"
CHCO,"City Holding Company",92.87,0.63000000000001,+0.68%,93.21,91.35,32648,"15:12 ET"
CHCT,"Community Healthcare Trust Inc",39.29,0.51,+1.32%,39.575,38.575,59966,"15:14 ET"
CHEF,"The Chefs Warehouse",35.61,0.079999999999998,+0.23%,36.18,35.34,117387,"15:12 ET"
CHRS,"Coherus Bio",10.39,0.13,+1.27%,10.43,9.92,486899,"15:13 ET"
CHS,"Chico's Fas",4.73,0.12,+2.60%,4.735,4.5503,1237805,"15:14 ET"
CHUY,"Chuy's Holdings Inc",33,0.45,+1.38%,33.25,32.42,46220,"15:09 ET"
CIR,"Circor International",25.75,0.22,+0.86%,26.16,25.53,14878,"15:09 ET"
CIVI,"Civitas Resources Inc",58.72,2.06,+3.64%,59.75,57,205867,"15:12 ET"
CLB,"Core Laboratories N.V.",23.1,0.39,+1.72%,24.3,22.705,317881,"15:14 ET"
CLDT,"Chatham Lodging Trust REIT",12.79,0.25,+1.99%,12.89,12.58,129018,"15:14 ET"
CLFD,"Clearfield Inc",83.13,0.70999999999999,+0.86%,87.08,80.58,565936,"15:14 ET"
CLW,"Clearwater Paper Corp",35.97,0.73,+2.07%,36.13,35.27,39621,"15:13 ET"
CMP,"Compass Minerals Intl Inc",46.17,0.55,+1.21%,46.44,45.35,180555,"15:14 ET"
CMTL,"Comtech Telecom Company",13.13,0.26,+2.02%,13.42,12.96,480432,"15:11 ET"
CNK,"Cinemark Holdings Inc",10.36,0.83,+8.71%,10.41,9.81,6512996,"15:14 ET"
CNMD,"C O N M E D Cp",94.91,-0.079999999999998,-0.08%,95.58,91.575,482794,"15:12 ET"
CNSL,"Consolidated Communications Holdings Inc",4.43,0.19,+4.48%,4.43,4.23,174389,"15:14 ET"
CNXN,"PC Connection Inc",48.78,0.59,+1.22%,48.97,47.8,13920,"14:39 ET"
COHU,"Cohu Inc",35.74,0.66,+1.88%,35.89,34.86,70408,"15:11 ET"
COLB,"Columbia Banking Sys",29.49,0.31,+1.06%,29.76,29.26,890928,"15:14 ET"
COLL,"Collegium Pharma",28.87,1.49,+5.44%,28.75,27.18,158365,"15:14 ET"
COOP,"Mr.Cooper Group Inc",44.45,-0.23999999999999,-0.54%,45.08,44.19,132657,"15:09 ET"
CORT,"Corcept Therapeutics",21.7,0.68,+3.24%,21.57,20.81,252193,"15:14 ET"
CPE,"Callon Petroleum Company",39.36,2.1,+5.64%,39.45,37.52,946403,"15:14 ET"
CPF,"Central Pacific Financial Company",21.53,0.55,+2.62%,21.77,21.14,50833,"15:09 ET"
CPK,"Chesapeake Utilities Corp",123.11,-0.56,-0.45%,124.8,122.7,47401,"15:10 ET"
CPRX,"Catalyst Pharm Inc",20.95,1.14,+5.75%,21.15,19.48,1643413,"15:14 ET"
CPSI,"Computer Programs",29.03,0.48,+1.68%,29.365,28.55,33690,"15:13 ET"
CRMT,"America's Car-Mart",78.4,2.31,+3.04%,78.76,76.1,30204,"15:07 ET"
CRNC,"Cerence Inc",21.7,0.009999999999998,+0.05%,22.57,21.41,147968,"15:11 ET"
CRS,"Carpenter Technology Corp",43.68,0.71,+1.65%,43.86,42.47,101599,"15:14 ET"
CRSR,"Corsair Gaming Inc",14.44,-0.59,-3.93%,14.805,13.82,503199,"15:12 ET"
