Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AA,Alcoa Corp,53.12,1.17,2.25%,53.2299,50.6,4491153,15:14 ET
ACHC,Acadia Healthcr Company,83.72,1.18,1.43%,84.035,82.28,352925,15:12 ET
ACIW,Aci Worldwide Inc,26.84,0.04,0.15%,27.15,26.75,409252,15:12 ET
ACM,Aecom Technology Corp,85.18,1.19,1.42%,86.35,84.72,501776,15:14 ET
ADNT,Adient Plc,41.57,0.29,0.70%,42.11,41.04,390756,15:14 ET
AFG,American Financial Group,141.36,0.52,0.37%,142.28,139.38,124917,15:10 ET
AGCO,Agco Corp,140.73,1.74,1.25%,141.8,137.98,254949,15:12 ET
AIRC,Apartment Income REIT Corp,36.56,0.4,1.11%,36.65,35.98,270565,15:13 ET
ALE,Allete Inc,66.16,0.09,0.14%,66.64,65.87,106074,15:14 ET
ALGM,Allegro Microsystems Inc,33.52,0.81,2.48%,33.88,32.7,747692,15:12 ET
AM,Antero Midstream Corp,11.38,0.17,1.52%,11.44,11.2,2329865,15:12 ET
AMED,Amedisys Inc,83.42,1.93,2.37%,85.85,81.13,273736,15:08 ET
AMG,Affiliated Managers Group,168.04,-2.02,-1.19%,171.91,168.8,136405,15:13 ET
AMKR,Amkor Technology,30.14,0.44,1.48%,30.38,29.185,613478,15:12 ET
AN,Autonation Inc,115.87,0.4,0.35%,116.5,113.815,354965,15:13 ET
AR,Antero Resources Corp,29.96,1.2,4.17%,30.35,29.2,3713642,15:14 ET
ARW,Arrow Electronics,112.43,0.74,0.66%,112.76,111.24,206809,15:09 ET
ARWR,Arrowhead Pharma,35.58,1.16,3.37%,35.76,33.7501,440736,15:12 ET
ASB,Associated Banc-Corp,23.44,0.19,0.82%,23.695,23.33,744084,15:14 ET
ASGN,On Assignment,86.28,-0.09,-0.10%,87.19,85.85,68219,15:08 ET
ASH,Ashland Inc,112.01,0.78,0.70%,112.53,110.6112,117636,15:13 ET
ATR,Aptargroup,113.24,-0.22,-0.19%,113.785,112.3961,108906,15:12 ET
AVNT,Avient Corp,38.71,0.17,0.44%,38.77,38.05,328546,15:13 ET
AVT,Avnet Inc,43.82,-0.15,-0.34%,44.2632,43.63,323756,15:12 ET
AXON,Axon Enterprise Inc,182.77,1.34,0.74%,183.64,179.01,324535,15:13 ET
AYI,Acuity Brands Inc,172.83,-1.68,-0.96%,177.12,172.6,155720,15:11 ET
AZPN,Aspen Technology,204.07,-2.04,-0.99%,207.86,200.95,52674,15:10 ET
AZTA,Azenta Inc,60.19,-1.65,-2.67%,62.18,59.87,367225,15:13 ET
BC,Brunswick Corp,79.42,0.75,0.95%,79.65,77.9,291613,15:13 ET
BCO,Brink's Company,62.43,2.51,4.19%,62.44,59.9569,129761,15:09 ET
BDC,Belden Inc,80.18,1.85,2.36%,80.6,78.32,82113,15:13 ET
BHF,Brighthouse Financial Inc,53.81,0.01,0.02%,54.465,53.68,154534,15:13 ET
BJ,Bj's Wholesale Club Holdings Inc,69.21,-0.5,-0.72%,69.84,68.855,469506,15:14 ET
BKH,Black Hills Corp,73.28,0.66,0.91%,73.7,72.33,192657,15:13 ET
BLD,Topbuild Corp,179.07,-0.24,-0.13%,179.765,173.75,162532,15:11 ET
BLDR,Builders Firstsource,69.81,1.03,1.50%,70,68.02,1176232,15:14 ET
BLKB,Blackbaud Inc,61.7,0.31,0.50%,61.92,61.07,85148,15:09 ET
BOH,Bank of Hawaii Corp,81.35,0.51,0.63%,81.73,80.5,54884,15:07 ET
BRBR,Bellring Brands Inc Cl A,26.85,0.77,2.95%,26.94,25.98,423496,15:14 ET
BRKR,Bruker Corp,67.73,-0.47,-0.69%,68.39,66.5,183186,15:13 ET
BRX,Brixmor Property Group Inc,22.68,0.46,2.07%,22.81,22.215,2348838,15:13 ET
BYD,Boyd Gaming Corp,58.24,1.13,1.98%,58.75,57.12,468273,15:13 ET
CABO,Cable One Inc,763.25,-0.32,-0.04%,778.76,754.87,39935,15:14 ET
CACI,Caci International,293.98,-1.8,-0.61%,296.74,292.94,89790,15:12 ET
